time/time_elapsed,rollout/episode_length,rollout/episode_reward_sum,time/iterations,rollout/episode_reward_short_path,rollout/episode_reward_height_coverage,time/fps,time/total_timesteps,time/rollout,train/entropy_loss,train/policy_gradient_loss,train/loss,train/n_updates,train/approx_kl,train/explained_variance,train/clip_range,train/value_loss,time/training,train/clip_fraction,train/clip_range_vf,train/learning_rate
1823,28.8022,17.5097,87,-6.3042,0.907,434,712704,18.86131715774536,-14.184560371046306,-0.04427811591846853,5.3969221115112305,430,0.17644206,0.6344045698642731,0.2,9.023264893964559,2.4626410007476807,0.5585280987394958,0.2,0.0001
1844,28.6293,17.5639,88,-6.0071,0.9082,438,720896,18.666378259658813,-14.223089375073396,-0.04440092859310314,7.783318042755127,435,0.18323287,0.6353265643119812,0.2,9.29326056528695,2.4424517154693604,0.5586431962025317,0.2,0.0001
1866,28.2114,17.5272,89,-6.2683,0.9077,434,729088,18.8340961933136,-14.178606711493599,-0.04676572620799696,9.58177375793457,440,0.22791019,0.6310501396656036,0.2,9.305026264543887,2.84407377243042,0.5721354166666667,0.2,0.0001
1887,27.6484,17.6075,90,-5.4966,0.9079,434,737280,18.840635299682617,-14.192567271246038,-0.05102753349002713,4.584397315979004,445,0.20928065,0.6376448273658752,0.2,8.830792968541804,2.9527456760406494,0.5914117517605634,0.2,0.0001
1908,27.7765,17.5766,91,-5.7695,0.9077,438,745472,18.667638063430786,-14.254920925892575,-0.024837970727083967,4.40125036239624,450,0.14165941,0.632720559835434,0.2,8.980425589521166,1.4544126987457275,0.45994718309859156,0.2,0.0001
1929,28.7359,17.481,92,-6.6163,0.9071,442,753664,18.509758472442627,-14.464278421540191,-0.05065899481659458,4.2157487869262695,455,0.22436675,0.6363098919391632,0.2,9.041436631610429,2.877932071685791,0.5795403079710145,0.2,0.0001
1950,29.3277,17.4399,93,-7.0368,0.9072,440,761856,18.579307794570923,-14.571382834818015,-0.05903241595790267,3.5253851413726807,460,0.22455145,0.637989729642868,0.2,8.742166402925376,2.899437665939331,0.5908307384341637,0.2,0.0001
1972,27.8297,17.583,94,-5.5395,0.9068,432,770048,18.939003705978394,-14.474621925179816,-0.040562231046866334,4.3657002449035645,465,0.17898962,0.65057173371315,0.2,9.14255624165818,2.2495341300964355,0.525470890410959,0.2,0.0001
1993,26.93,17.7618,95,-3.9951,0.9081,434,778240,18.862987995147705,-14.363737207777957,-0.044585815951862236,0.9704190492630005,470,0.17848486,0.6421279907226562,0.2,9.144017693844248,2.5321669578552246,0.5447140957446809,0.2,0.0001
2014,28.7881,17.5123,96,-6.3734,0.9075,437,786432,18.741947412490845,-14.444446461259826,-0.04373916886238889,5.7566423416137695,475,0.18100938,0.6347759664058685,0.2,9.069166680505454,2.6050736904144287,0.5626614152892562,0.2,0.0001
2035,29.3041,17.2939,97,-8.4653,0.907,437,794624,18.710978269577026,-14.563376373219713,-0.045745159845329196,4.434635639190674,480,0.1755547,0.6195543706417084,0.2,8.779897299882407,2.2597434520721436,0.5229264018691588,0.2,0.0001
2056,30.0567,17.387,98,-7.5802,0.9073,437,802816,18.707749366760254,-14.584813158467131,-0.03700319971045796,3.207306385040283,485,0.17085382,0.6461648344993591,0.2,9.482392487660894,2.309943914413452,0.5361880896226415,0.2,0.0001
2079,28.8223,17.4466,99,-7.1728,0.9082,432,811008,18.956562519073486,-14.669759546225063,-0.06179804373800326,7.806788444519043,490,0.21315797,0.6403378248214722,0.2,7.999508849348123,3.4266293048858643,0.6067541932907349,0.2,0.0001
2100,29.0305,17.4994,100,-6.6481,0.9082,441,819200,18.544119119644165,-14.543650660307511,-0.0380205829222889,5.849682807922363,495,0.1763193,0.6559657752513885,0.2,9.387765140118807,2.388962984085083,0.5616508152173914,0.2,0.0001
2122,28.0698,17.5746,101,-5.5777,0.9066,439,827392,18.61941957473755,-14.626549196243285,-0.06507835375668947,5.83646297454834,500,0.20017315,0.6387385427951813,0.2,8.455769125372171,3.280787467956543,0.6087646484375,0.2,0.0001
2143,27.7524,17.5925,102,-5.5568,0.9074,436,835584,18.764483213424683,-14.53333876940063,-0.044422579592217036,4.239600658416748,505,0.32461053,0.6535119712352753,0.2,8.979185699025017,2.683675527572632,0.5709204766536965,0.2,0.0001
2165,27.1989,17.6855,103,-4.7046,0.9078,434,843776,18.85374665260315,-14.238012286497273,-0.05541876088293757,9.351195335388184,510,0.21752341,0.6407068371772766,0.2,8.649520398895373,3.09824275970459,0.5880936379928315,0.2,0.0001
2186,26.0964,17.794,104,-3.6704,0.9081,441,851968,18.563312530517578,-14.270857029101428,-0.04700021728914341,6.098140716552734,515,0.22991143,0.6432501077651978,0.2,9.105544208603746,2.882194995880127,0.5948701746323529,0.2,0.0001
2207,27.9296,17.6337,105,-5.3386,0.9084,433,860160,18.907646417617798,-14.093625498559192,-0.03802111996772067,1.843267798423767,520,0.311332,0.6417723894119263,0.2,8.77492457226768,1.9751276969909668,0.5051408678756477,0.2,0.0001
2229,26.4308,17.7437,106,-3.9605,0.907,434,868352,18.865686893463135,-14.319844448205197,-0.0494374061906428,8.152770042419434,525,0.2124193,0.6483967304229736,0.2,9.127722410541592,2.715630292892456,0.5658735795454546,0.2,0.0001
2249,27.6209,17.5737,107,-5.6733,0.9071,427,876544,19.143796920776367,-14.24941588864468,-0.013102200970348745,7.891095161437988,530,0.102586165,0.6475092768669128,0.2,8.90627894071069,1.0936245918273926,0.40586324257425743,0.2,0.0001
2270,28.0253,17.4954,108,-6.5214,0.9074,441,884736,18.5431706905365,-14.39566639027697,-0.04357237891353508,5.154793739318848,535,0.1858966,0.6530672311782837,0.2,8.770705560927695,2.4459900856018066,0.5482380319148936,0.2,0.0001
2291,27.0348,17.6884,109,-4.5678,0.9073,435,892928,18.8232741355896,-14.505947130067009,-0.03300538188445249,7.203110218048096,540,0.14298017,0.657759815454483,0.2,8.575843564101628,1.740699291229248,0.4879557291666667,0.2,0.0001
2312,26.7851,17.6665,110,-4.7429,0.907,441,901120,18.547667980194092,-14.302882644365418,-0.04698626960996749,11.245600700378418,545,0.20154428,0.6535177826881409,0.2,9.291216589369863,2.8472416400909424,0.5796285377358491,0.2,0.0001
2333,28.0615,17.5661,111,-5.8903,0.9078,434,909312,18.846882104873657,-14.304111564508542,-0.04475803608191687,7.290192604064941,550,0.1739328,0.6470542848110199,0.2,8.629872204369581,2.4533183574676514,0.5543933054393305,0.2,0.0001
2355,26.5992,17.704,112,-4.4919,0.9077,438,917504,18.664954900741577,-14.456807036148874,-0.043349783716776114,8.995173454284668,555,0.17652848,0.6622812449932098,0.2,8.609608464878098,2.638521909713745,0.5720521255060729,0.2,0.0001
