time/rollout,time/total_timesteps,time/time_elapsed,rollout/episode_length,time/iterations,rollout/episode_reward_sum,rollout/episode_reward_height_coverage,rollout/episode_reward_short_path,time/fps,train/entropy_loss,train/value_loss,train/clip_range_vf,time/training,train/explained_variance,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/n_updates,train/clip_range,train/approx_kl,train/loss
17.79035186767578,188416,443,73.826,23,13.3576,0.9046,-47.3361,460,-18.537983778751258,3.2010855993839225,0.2,2.0211808681488037,0.7915937304496765,-0.046595075073642564,0.0001,0.462081755050505,110,0.2,0.12055876,0.866473913192749
18.072153329849243,196608,463,68.6895,24,14.3438,0.904,-37.3629,453,-18.457897626436672,3.7746449310398664,0.2,1.72462797164917,0.7733030766248703,-0.03936695496513117,0.0001,0.43837832840236685,115,0.2,0.091564305,3.420236110687256
18.113295793533325,204800,483,63.628,25,15.2662,0.9042,-28.1795,452,-18.307879795172276,4.050538188983232,0.2,2.0422873497009277,0.76937535405159,-0.04283053122269802,0.0001,0.4584134615384615,120,0.2,0.12171041,1.9782090187072754
17.869150161743164,212992,503,59.0625,26,16.0635,0.9055,-20.4658,458,-18.197962467844892,4.714743375196689,0.2,2.087275505065918,0.7443526089191437,-0.04232190611158929,0.0001,0.4815167682926829,125,0.2,0.11521638,3.5484964847564697
17.870023727416992,221184,522,57.7663,27,16.2822,0.9061,-18.3908,458,-18.052877726378263,4.830226344642816,0.2,1.103360652923584,0.7550851553678513,-0.015381018790692367,0.0001,0.38136574074074076,130,0.2,0.072347745,3.610020160675049
17.823620080947876,229376,542,53.1503,28,16.918,0.9056,-11.9386,459,-18.004501634043425,5.336875562010141,0.2,2.059563159942627,0.7386041581630707,-0.0405853113797241,0.0001,0.4820274014778325,135,0.2,0.11792505,7.2487030029296875
17.979827404022217,237568,562,52.3713,29,17.0501,0.9057,-10.6427,455,-17.906320662188108,5.159458354027314,0.2,1.7164497375488281,0.7279526889324188,-0.030615796114610145,0.0001,0.4419840976331361,140,0.2,0.08371282,3.826124429702759
18.054442167282104,245760,582,48.2917,30,17.4921,0.9059,-6.2553,453,-17.84008455758143,5.3331831591297885,0.2,2.0171663761138916,0.6977816820144653,-0.03960310887413645,0.0001,0.4688683712121212,145,0.2,0.1362498,4.200997352600098
18.012240171432495,253952,601,47.8123,31,17.4948,0.9066,-6.3737,454,-17.697790452650377,6.44400571359621,0.2,1.4540457725524902,0.6966466307640076,-0.02373343697013138,0.0001,0.4250437062937063,150,0.2,0.097553566,4.289109230041504
18.129122018814087,262144,621,46.1012,32,17.6319,0.9074,-5.1638,451,-17.668774231620457,6.263395478266366,0.2,1.6347415447235107,0.6995991766452789,-0.03105994145044629,0.0001,0.452445652173913,155,0.2,0.096387535,4.936384201049805
18.16742753982544,270336,641,45.5865,33,17.5625,0.9066,-5.6997,450,-17.57588512757245,5.585144117474556,0.2,1.3819150924682617,0.689978837966919,-0.02486916202777887,0.0001,0.42440257352941174,160,0.2,0.10634102,2.196028232574463
18.205243349075317,278528,661,44.9932,34,17.6779,0.9072,-4.6517,449,-17.502334747314453,6.062802557349205,0.2,2.0281293392181396,0.6780461668968201,-0.043816236671991644,0.0001,0.4721484375,165,0.2,0.12651676,0.3716120719909668
18.0918071269989,286720,681,43.9991,35,17.6787,0.9064,-4.501,452,-17.48670667825743,6.598812254362328,0.2,1.746880292892456,0.6845507025718689,-0.030930354920497467,0.0001,0.4633448401162791,170,0.2,0.09801298,9.618642807006836
18.23039722442627,294912,701,42.9417,36,17.7626,0.9072,-3.8044,449,-17.336973547935486,5.791766534474763,0.2,1.7910709381103516,0.6607357263565063,-0.03561545958721333,0.0001,0.4600497159090909,175,0.2,0.0955835,6.743728160858154
18.09515118598938,303104,721,41.5573,37,17.8179,0.9065,-3.1258,452,-17.23126792907715,7.092300205254087,0.2,2.2108821868896484,0.6723652184009552,-0.0413270276861594,0.0001,0.4851026348039216,180,0.2,0.1280902,6.93387508392334
18.182260036468506,311296,741,42.3692,38,17.7647,0.9069,-3.7321,450,-17.26170789123212,6.6178641508495994,0.2,1.9198522567749023,0.6862347424030304,-0.03331233983829854,0.0001,0.4833829365079365,185,0.2,0.103955075,2.8602700233459473
18.140110731124878,319488,761,41.9887,39,17.8206,0.9066,-3.1159,451,-17.189497303962707,6.361220253258944,0.2,1.6288342475891113,0.649109274148941,-0.031227480992674826,0.0001,0.440771484375,190,0.2,0.09657644,3.084751605987549
18.049544095993042,327680,781,42.0456,40,17.8334,0.9066,-2.9891,453,-17.24173795962762,7.561606165177808,0.2,1.6946041584014893,0.651108592748642,-0.03506328393621538,0.0001,0.46800149700598803,195,0.2,0.10672673,4.765808582305908
18.08752202987671,335872,801,41.2634,41,17.8417,0.9067,-2.9152,452,-17.260750679514516,5.97546822970836,0.2,2.013141632080078,0.6563419103622437,-0.038543582131065915,0.0001,0.466669283919598,200,0.2,0.11419623,2.2534432411193848
18.157696962356567,344064,821,40.0879,42,17.8265,0.9065,-3.0282,451,-17.30914736968543,7.053541586316865,0.2,2.0710391998291016,0.6595194041728973,-0.03910686531943714,0.0001,0.4777940270935961,205,0.2,0.13014302,7.587987422943115
18.120712280273438,352256,841,42.5734,43,17.7464,0.9069,-3.9133,452,-17.14511441954092,6.638433951110655,0.2,2.0949227809906006,0.6356375813484192,-0.04401357591845059,0.0001,0.486262077294686,210,0.2,0.12002774,1.5619473457336426
18.0146324634552,360448,861,42.7792,44,17.705,0.9064,-4.2345,454,-17.19602107057477,7.075110797834869,0.2,2.0529696941375732,0.6531826853752136,-0.0427534164501225,0.0001,0.4827506188118812,215,0.2,0.12381121,2.8587522506713867
18.126405000686646,368640,881,41.7826,45,17.7209,0.9061,-4.0166,451,-17.23937584535919,6.372036364391772,0.2,1.3989903926849365,0.6451318264007568,-0.02504956746052434,0.0001,0.40670620437956206,220,0.2,0.10720138,5.754660129547119
18.071166038513184,376832,900,40.3793,46,17.8202,0.9069,-3.1785,453,-17.20248326863328,6.89309015747619,0.2,1.4834575653076172,0.6651123762130737,-0.02178413275476188,0.0001,0.4183433219178082,225,0.2,0.09702107,3.1487016677856445
