rollout/episode_reward_height_coverage,rollout/episode_length,time/time_elapsed,rollout/episode_reward_sum,time/fps,time/iterations,time/rollout,rollout/episode_reward_short_path,time/total_timesteps,train/clip_range_vf,train/learning_rate,train/clip_fraction,train/clip_range,train/n_updates,train/approx_kl,time/training,train/loss,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/value_loss
0.9082,31.8084,189,17.2938,444,19,9.21720576286316,-8.706,77824,0.2,0.0001,0.2602796052631579,0.2,90,0.057015017,0.3825807571411133,9.739480972290039,-18.525149194817793,-0.005229596710322719,0.38399744033813477,9.38545871408362
0.9081,29.705,199,17.5012,442,20,9.249808073043823,-6.6169,81920,0.2,0.0001,0.31471108490566035,0.2,95,0.057270784,0.537224531173706,5.828450679779053,-18.48393458240437,-0.01286613793586785,0.39422929286956787,10.29628625006046
0.908,29.432,209,17.4781,439,21,9.313292026519775,-6.823,86016,0.2,0.0001,0.3307926829268293,0.2,100,0.058771286,0.4151463508605957,5.634167671203613,-18.371464287362446,-0.008763127733112835,0.31585240364074707,10.362033105478055
0.9077,28.1476,219,17.658,439,22,9.310794353485107,-4.9662,90112,0.2,0.0001,0.36671401515151514,0.2,105,0.06766291,0.6704308986663818,9.546733856201172,-18.30433241526286,-0.02572049124335701,0.3322935104370117,12.717738296046402
0.9081,28.1835,229,17.677,439,23,9.320098400115967,-4.8483,94208,0.2,0.0001,0.39662590579710144,0.2,110,0.06546334,0.6984024047851562,12.523887634277344,-18.159186542897984,-0.026530513647889744,0.3257201910018921,10.21961145815642
0.9083,27.0854,239,17.7375,436,24,9.377221584320068,-4.2832,98304,0.2,0.0001,0.2463107638888889,0.2,115,0.055859774,0.3627047538757324,7.283090114593506,-18.354479365878635,0.0016475649705777566,0.36185163259506226,12.562479178110758
0.9075,27.1383,248,17.8179,438,25,9.348353624343872,-3.3209,102400,0.2,0.0001,0.3016690340909091,0.2,120,0.05422276,0.44463014602661133,9.837747573852539,-18.1047381921248,-0.012097297596152533,0.29458582401275635,10.942060654813593
0.9084,25.9598,258,17.7974,438,26,9.342380046844482,-3.7069,106496,0.2,0.0001,0.22678571428571428,0.2,125,0.05508724,0.35414814949035645,9.292768478393555,-18.244886997767857,0.0021082367481929914,0.33081716299057007,11.229856886182512
0.9085,23.1671,268,18.0325,433,27,9.452094554901123,-1.3773,110592,0.2,0.0001,0.334375,0.2,130,0.054514118,0.45666956901550293,8.584848403930664,-17.99684872097439,-0.007284747643603219,0.31931573152542114,11.450240188174778
0.9086,23.2777,278,17.9969,434,28,9.432382345199585,-1.7604,114688,0.2,0.0001,0.27834821428571427,0.2,135,0.061628282,0.35336732864379883,9.585886001586914,-17.741461944580077,0.005890091535236154,0.2857205271720886,13.642932673863003
0.9098,21.5905,288,18.1048,431,29,9.487640142440796,-0.9046,118784,0.2,0.0001,0.3677455357142857,0.2,140,0.05904259,0.42519235610961914,9.489423751831055,-17.65211668468657,-0.004232683152492557,0.26529961824417114,12.426035290672665
0.909,20.4226,298,18.1348,432,30,9.480706453323364,-0.4516,122880,0.2,0.0001,0.3153582317073171,0.2,145,0.055831954,0.41564059257507324,17.038772583007812,-17.362872844789088,-0.004096550503518523,0.2685464024543762,17.240472700537705
0.9096,19.4911,307,18.1511,430,31,9.505969524383545,-0.3995,126976,0.2,0.0001,0.3465909090909091,0.2,150,0.09984116,0.33257079124450684,10.495049476623535,-17.07710497307055,0.008372231076161066,0.2304806113243103,14.005217494386615
0.9089,20.7253,317,18.1223,430,32,9.51573634147644,-0.5631,131072,0.2,0.0001,0.3048735119047619,0.2,155,0.057549942,0.426555871963501,13.281697273254395,-17.140326499938965,-0.0037865242920815945,0.2646995782852173,18.522350492931547
0.9097,19.8664,327,18.1181,430,33,9.522465705871582,-0.7568,135168,0.2,0.0001,0.3596875,0.2,160,0.052998193,0.5041511058807373,3.619216203689575,-16.95857322692871,-0.010701247490942478,0.24660366773605347,13.089868240356445
0.9097,20.3726,337,18.1062,429,34,9.530734777450562,-0.8775,139264,0.2,0.0001,0.296875,0.2,165,0.06070709,0.36452484130859375,12.738326072692871,-16.88256072998047,0.0022931562270969152,0.2498856782913208,14.743984553549025
0.9105,19.8323,347,18.1732,429,35,9.533306121826172,-0.3665,143360,0.2,0.0001,0.35060975609756095,0.2,170,0.060034912,0.4135894775390625,8.475944519042969,-16.790336422803925,-0.007408155423657197,0.24971675872802734,13.683210983508971
0.9103,19.9782,357,18.1829,431,36,9.490839004516602,-0.2397,147456,0.2,0.0001,0.35066964285714286,0.2,175,0.058561057,0.3519291877746582,12.803135871887207,-16.922679955618722,0.0051497528329491615,0.26480573415756226,16.50933096749442
0.9094,20.7724,367,18.1361,430,37,9.506884574890137,-0.5233,151552,0.2,0.0001,0.36392257462686567,0.2,180,0.06903749,0.6780641078948975,7.061434745788574,-17.04171883881982,-0.027319448666452473,0.22264277935028076,13.10272041007654
0.91,20.4347,377,18.1627,430,38,9.511396408081055,-0.3636,155648,0.2,0.0001,0.3002232142857143,0.2,185,0.06820863,0.3540487289428711,9.535265922546387,-17.001007080078125,0.003194249208484377,0.2572439908981323,13.47703595842634
0.9092,20.3115,387,18.1223,430,39,9.519104719161987,-0.6213,159744,0.2,0.0001,0.35924030172413796,0.2,190,0.059847083,0.5870325565338135,9.051528930664062,-16.947166705953663,-0.014262038459680203,0.26509249210357666,14.493288278579712
0.9107,19.0293,397,18.193,429,40,9.540478229522705,-0.2094,163840,0.2,0.0001,0.29545454545454547,0.2,195,0.092734635,0.3341515064239502,7.57593297958374,-16.49377065716368,0.007167372288125934,0.22750502824783325,13.371715415607799
0.9105,18.9541,407,18.1766,430,41,9.521584510803223,-0.3288,167936,0.2,0.0001,0.32541454081632654,0.2,200,0.054781955,0.4954831600189209,20.66336441040039,-16.507766451154435,-0.012876350679719935,0.26191580295562744,18.641485681339187
0.9105,19.6442,417,18.1495,428,42,9.55568242073059,-0.5976,172032,0.2,0.0001,0.37000512295081966,0.2,205,0.06004149,0.62491774559021,11.075156211853027,-16.464381171054526,-0.019687578982872066,0.23816221952438354,14.135363492809358
0.911,19.5566,427,18.1585,428,43,9.548462629318237,-0.6138,176128,0.2,0.0001,0.361328125,0.2,210,0.057288826,0.5264120101928711,9.978229522705078,-16.40830083993765,-0.015187769913329529,0.26399827003479004,16.147260326605576
0.91,19.2756,437,18.1507,427,44,9.586220502853394,-0.5017,180224,0.2,0.0001,0.29196428571428573,0.2,215,0.05979688,0.3539462089538574,14.247438430786133,-16.23897557939802,0.0035637070557900836,0.24659597873687744,13.695310299737113
